organisationunitname,organisationunitname,periodname,MOH 747A_Combined Oral contraceptive Pills Dispensed,MOH 747A_Cycle Beads Dispensed,MOH 747A_DMPA-IM Dispensed,MOH 747A_DMPA-SC Dispensed,MOH 747A_Emergency Contraceptive pills Dispensed,MOH 747A_Female Condoms Dispensed,MOH 747A_Hormonal IUCD Dispensed,MOH 747A_Implant (2-Rod) – LNG 75mg (5 years) Dispensed,MOH 747A_Implants (1-Rod) – ENG 68mg Dispensed,MOH 747A_Implants (2-Rod) - LNG 75mg (3 years) Dispensed,MOH 747A_Male Condoms Dispensed,MOH 747A_Non-Hormonal IUCD Dispensed
Revised Ministry of Health (2018),Bahai Dispensary,2020,182,,"1,701",,11,140,,89,25,,"42,664",
Revised Ministry of Health (2018),Bahai Dispensary,2021,527,,971,,,,,206,108,133,"47,364",
Revised Ministry of Health (2018),Bahai Dispensary,2022,276,,217,,,,,237,165,30,"1,008",4
Revised Ministry of Health (2018),Bahai Dispensary,2023,65,,269,,,,,463,98,35,"9,836",4
Revised Ministry of Health (2018),Bahai Dispensary,2024,52,,161,,,,,34,33,,720,11
Revised Ministry of Health (2018),Bisunu Dispensary,2020,127,,309,,,270,,32,15,,"4,033",
Revised Ministry of Health (2018),Bisunu Dispensary,2021,203,,367,,,219,,69,,,"2,178",
Revised Ministry of Health (2018),Bisunu Dispensary,2022,378,,606,,,,,51,41,99,"4,981",
Revised Ministry of Health (2018),Bisunu Dispensary,2023,11,,537,,1,,,107,68,10,"6,533",
Revised Ministry of Health (2018),Bisunu Dispensary,2024,18,,313,,4,,,30,41,3,"1,307",
Revised Ministry of Health (2018),Bituyu Dispensary,2020,152,,"1,090",,8,20,,115,49,,"7,956",2
Revised Ministry of Health (2018),Bituyu Dispensary,2021,700,,897,,,483,,193,30,56,"14,420",3
Revised Ministry of Health (2018),Bituyu Dispensary,2022,258,,861,,,,,140,59,43,"7,065",2
Revised Ministry of Health (2018),Bituyu Dispensary,2023,18,,572,3,"1,108",,,125,50,39,"5,620",
Revised Ministry of Health (2018),Bituyu Dispensary,2024,117,,296,,,,,29,36,10,"2,804",
Revised Ministry of Health (2018),Bokoli  Sub-County Hospital,2020,391,,"1,595",,72,,,207,19,,"20,004",4
Revised Ministry of Health (2018),Bokoli  Sub-County Hospital,2021,306,,"1,409",,1,,2,222,15,19,"17,612",12
Revised Ministry of Health (2018),Bokoli  Sub-County Hospital,2022,361,,921,,,,,310,140,209,"9,388",22
Revised Ministry of Health (2018),Bokoli  Sub-County Hospital,2023,,,"1,069",,10,,4,519,140,10,"3,000",14
Revised Ministry of Health (2018),Bokoli  Sub-County Hospital,2024,60,,495,2,3,,,218,103,,,
Revised Ministry of Health (2018),Bukembe Dispensary,2020,464,,"2,030",,16,24,,121,120,,"9,986",10
Revised Ministry of Health (2018),Bukembe Dispensary,2021,710,,"1,221",,2,78,,362,,,"17,568",12
Revised Ministry of Health (2018),Bukembe Dispensary,2022,810,,"1,023",,,,,294,201,151,"5,040",7
Revised Ministry of Health (2018),Bukembe Dispensary,2023,52,,513,,,,,246,176,149,"18,819",3
Revised Ministry of Health (2018),Bukembe Dispensary,2024,178,,402,,4,,,84,57,9,"7,920",
Revised Ministry of Health (2018),Bukokholo Dispensary,2020,99,,552,,1,390,,75,66,,"9,389",18
Revised Ministry of Health (2018),Bukokholo Dispensary,2021,130,,292,,,60,,83,36,,"4,646",
Revised Ministry of Health (2018),Bukokholo Dispensary,2022,111,,511,,,,1,62,15,89,"3,586",
